X,Y,施設名,施設名かな,施設名（施設名かな）,所在地,地区名,TEL,FAX,詳細情報,開館時間,URL,バリアフリー情報,駐輪場 PC,駐輪場 携,大分類,小分類,カテゴリ,アイコン番号,施設ID
135.520133,34.614633,長居プール,ながいぷーる,長居プール（ながいぷーる）,東住吉区長居公園内,東住吉区,06-6609-1580,,,,http://www.nagai-park.jp/nagai_pool/,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,3115
135.5171942,34.61186389,長居相撲場,ながいすもうじょう,長居相撲場（ながいすもうじょう）,東住吉区長居公園内,東住吉区,06-6691-2500,,,,http://www.nagai-park.jp/nagai_sumo/index.html,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,3117
135.5184312,34.61118111,長居第2陸上競技場,ながいだい２りくじょうきょうぎじょう,長居第2陸上競技場（ながいだい２りくじょうきょうぎじょう）,東住吉区長居公園内,東住吉区,06-6691-2500,,,,http://www.nagai-park.jp/stadium2/index.html,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,3109
135.511239,34.59197797,住吉屋内プール,すみよしおくないぷーる,住吉屋内プール（すみよしおくないぷーる）,住吉区浅香1丁目8番15号,住吉区,06-6694-9171,,,,http://www.sports.city.osaka.jp/sports/sa/tb/i/2/0/0/73/0/20730001/d.html,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,409
135.5112417,34.59209406,住吉トレーニングルーム,すみよしとれーにんぐるーむ,住吉トレーニングルーム（すみよしとれーにんぐるーむ）,住吉区浅香1丁目8番15号,住吉区,06-6694-9173,,,,http://www.sports.city.osaka.jp/sports/sa/tb/i/2/0/0/73/0/20730002/d.html,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,408
135.5112639,34.59220314,住吉スポーツセンター,すみよしすぽーつせんたー,住吉スポーツセンター（すみよしすぽーつせんたー）,住吉区浅香1丁目8番15号,住吉区,06-6694-9201,,,,http://www.sports.city.osaka.jp/sports/sa/tb/i/2/0/0/73/0/20730003/d.html,http://www.osaka-bfmap.jp/sisetu_data/data/210601.php?bunrui=1&name=21.php,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,407
135.4754138,34.62372486,住之江スポーツセンター,すみのえすぽーつせんたー,住之江スポーツセンター（すみのえすぽーつせんたー）,住之江区北加賀屋5-3-47住之江総合会館内,住之江区,06-6686-4172,,,,http://www.sports.city.osaka.jp/sports/sa/tb/i/2/0/0/72/0/20720001/d.html,http://www.osaka-bfmap.jp/sisetu_data/data/200601.php?bunrui=1&name=20.php,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,4949
135.4319611,34.631017,南港中央テニス場,なんこうちゅうおうてにすじょう,南港中央テニス場（なんこうちゅうおうてにすじょう）,住之江区南港東8南港中央公園内,住之江区,06-6614-0549,,,,http://www.sports.city.osaka.jp/sports/sa/tb/i/2/0/0/72/0/20720004/d.html,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,669
135.4323108,34.62958303,南港中央野球場,なんこうちゅうおうやきゅうじょう,南港中央野球場（なんこうちゅうおうやきゅうじょう）,住之江区南港東8南港中央公園内,住之江区,06-6614-0549,,,,http://www.sports.city.osaka.jp/sports/sa/tb/i/2/0/0/0/18/20720005/d.html,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,670
135.4425018,34.70323025,西淀川屋内プール,にしよどがわおくないぷーる,西淀川屋内プール（にしよどがわおくないぷーる）,西淀川区大和田2丁目5番7号,西淀川区,06-6474-9940,06-6474-9241,,,,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,3708
135.4646219,34.68355792,此花屋内プール,このはなおくないぷーる,此花屋内プール（このはなおくないぷーる）,此花区西九条5-4-21,此花区,6465-6700,6465-6750,,,,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,1275
135.4754252,34.623672,住之江屋内プール,すみのえおくないぷーる,住之江屋内プール（すみのえおくないぷーる）,住之江区北加賀屋5-3-47住之江総合会館内,住之江区,06-6686-4163,06-6686-3414,,,,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,4950
135.4549308,34.63564217,鶴町南運動場,つるまちみなみうんどうじょう,鶴町南運動場（つるまちみなみうんどうじょう）,大正区鶴町1-19(鶴町南公園内),大正区,06-6571-0552,,,,,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,3910
135.4750169,34.64435,小林野球場,こばやしやきゅうじょう,小林野球場（こばやしやきゅうじょう）,大正区小林東2-6(小林公園内),大正区,06-6571-0552,,,,,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,3836
135.458947,34.66603617,磯路中央運動場,いそじちゅうおううんどうじょう,磯路中央運動場（いそじちゅうおううんどうじょう）,港区磯路2-17,港区,06-6571-0552(八幡屋公園事務所),,,,http://www.sports.city.osaka.jp/sports/sa/tb/i/2/0/0/57/0/20570005/d.html,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,1960
135.461303,34.67384208,波除運動場,なみよけうんどうじょう,波除運動場（なみよけうんどうじょう）,港区波除5-5,港区,06-6571-0552(八幡屋公園事務所),,,,http://www.sports.city.osaka.jp/sports/sa/tb/i/2/0/0/57/0/20570004/d.html,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,990
135.5209752,34.65286108,寺田町野球場,てらだちょうやきゅうじょう,寺田町野球場（てらだちょうやきゅうじょう）,天王寺区寺田町1-5　寺田町公園内,天王寺区,06-6761-1770(真田山公園事務所),,,,http://www.sports.city.osaka.jp/sports/sa/tb/i/2/0/0/59/0/20590007/d.html,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,4262
135.5234781,34.65783897,五条運動場,ごじょううんどうじょう,五条運動場（ごじょううんどうじょう）,天王寺区烏ヶ辻2-5五条公園内,天王寺区,06-6761-1770(真田山公園事務所),,,,http://www.sports.city.osaka.jp/sports/sa/tb/i/2/0/0/59/0/20590008/d.html,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,4244
135.5279639,34.67023897,真田山庭球場,さなだやまていきゅうじょう,真田山庭球場（さなだやまていきゅうじょう）,天王寺区真田山町5　真田山公園内,天王寺区,06-6761-1770(真田山公園事務所),,,,,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,4294
135.5279639,34.66946914,真田山野球場,さなだやまやきゅうじょう,真田山野球場（さなだやまやきゅうじょう）,天王寺区真田山町5 真田山公園内,天王寺区,06-6761-1770(真田山公園事務所),,,,http://www.sports.city.osaka.jp/sports/sa/tb/i/2/0/0/59/0/20590003/d.html,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,4295
135.5455423,34.67625786,東中本運動場,ひがしなかもとうんどうじょう,東中本運動場（ひがしなかもとうんどうじょう）,東成区(東中本公園内),東成区,06-6761-1770（真田山公園事務所）,06-6761-1645,,,http://www.sports.city.osaka.jp/sports/sa/tb/i/2/0/0/66/0/20660005/d.html,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,42
135.5483188,34.677889,神路運動場,かみじうんどうじょう,神路運動場（かみじうんどうじょう）,東成区(神路公園内),東成区,6761-1770(真田山公園事務所),06-6761-1645,,,http://www.sports.city.osaka.jp/sports/sa/tb/i/2/0/0/66/0/20660003/d.html,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,3325
135.4640889,34.64974186,マリンテニスパーク・北村,まりんてにすぱーくきたむら,マリンテニスパーク・北村（まりんてにすぱーくきたむら）,大正区北村3-3-70,大正区,06-6555-6161,06-6555-6171,,,,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,3962
135.475719,34.66934983,京セラドーム大阪,きょうせらどーむおおさか,京セラドーム大阪（きょうせらどーむおおさか）,西区千代崎3-中2-1,西区,06-6586-0106,,,,http://www.kyoceradome-osaka.jp/,http://www.osaka-bfmap.jp/sisetu_data/data/060601.php?bunrui=1&amp;amp;name=6.php,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,62
135.4738143,34.61182211,住之江公園プール,すみのえこうえんぷーる,住之江公園プール（すみのえこうえんぷーる）,住之江区南加賀屋1住之江公園内,住之江区,06-6685-9521,,,,,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,132
135.4755862,34.61166686,住之江公園野球場,すみのえこうえんやきゅうじょう,住之江公園野球場（すみのえこうえんやきゅうじょう）,住之江区南加賀屋１住之江公園内,住之江区,06-6685-9521,,,,,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,134
135.4752359,34.61056081,住之江公園多目的広場,すみのえこうえんたもくてきひろば,住之江公園多目的広場（すみのえこうえんたもくてきひろば）,住之江区南加賀屋1住之江公園内,住之江区,06-6685-9521,,　（野球等）,,,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,133
135.487475,34.61185317,住吉公園野球場,すみよしこうえんやきゅうじょう,住吉公園野球場（すみよしこうえんやきゅうじょう）,住之江区浜口東1住吉公園内,住之江区,06-6671-2292,,,,,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,687
135.4892469,34.61098594,大阪府住吉公園体育館,おおさかふすみよしこうえんたいいくかん,大阪府住吉公園体育館（おおさかふすみよしこうえんたいいくかん）,住之江区浜口東1-1-13,住之江区,06-6671-3864,,,,,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,685
135.4088277,34.61622508,エル・シティ・ナンコウ野球場・テニス場,える・してぃ・なんこうやきゅうじょう・てにすじょう,エル・シティ・ナンコウ野球場・テニス場（える・してぃ・なんこうやきゅうじょう・てにすじょう）,住之江区南港南7,住之江区,06-6613-8580,,,,,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,673
135.4429888,34.61276403,コミュニティ広場,こみゅにてぃひろば,コミュニティ広場（こみゅにてぃひろば）,住之江区南港東2-5,住之江区,06-6683-2882,,（ソフトボール等）,,,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,156
135.4769189,34.61226092,住之江公園テニス場,すみのえこうえんてにすじょう,住之江公園テニス場（すみのえこうえんてにすじょう）,住之江区南加賀屋1住之江公園内,住之江区,06-6685-9521,,,,,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,131
135.4876252,34.612706,住吉公園テニス場,すみよしこうえんてにすじょう,住吉公園テニス場（すみよしこうえんてにすじょう）,住之江区浜口東1住吉公園内,住之江区,06-6671-2292,,,,,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,686
135.4757109,34.62278086,北加賀屋野球場,きたかがややきゅうじょう,北加賀屋野球場（きたかがややきゅうじょう）,住之江区北加賀屋5北加賀屋公園内,住之江区,06-6771-2740,,天王寺動植物公園事務所の電話,,http://www.sports.city.osaka.jp/sports/sa/tb/i/2/0/0/72/0/20720003/d.html,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,4951
135.508406,34.59117189,浅香中央運動場,あさかちゅうおううんどうじょう,浅香中央運動場（あさかちゅうおううんどうじょう）,住吉区浅香1丁目6番,住吉区,06-6691-7200,,,,http://www.sports.city.osaka.jp/sports/sa/tb/i/2/0/0/73/0/20730005/d.html,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,403
135.5163082,34.61139997,長居運動場,ながいうんどうじょう,長居運動場（ながいうんどうじょう）,東住吉区長居公園内,東住吉区,06-6691-2500,,,,http://www.nagai-park.jp/nagai_ground/,,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,3116
135.5262027,34.59864989,東住吉スポーツセンター,ひがしすみよしすぽーつせんたー,東住吉スポーツセンター（ひがしすみよしすぽーつせんたー）,東住吉区公園南矢田4-30-3,東住吉区,06-6694-4580,,,,,http://www.osaka-bfmap.jp/sisetu_data/data/220601.php?bunrui=1&name=22.php,,,公園・スポーツ,スポーツ施設,公園・スポーツ/スポーツ施設,153,3064
